,PK,time
153,456.4692577517324,153
154,454.8548567333378,154
155,453.2517924875841,155
156,451.65984539148604,156
157,450.07880183131505,157
158,448.5084540302051,158
159,446.9485998807313,159
160,445.3990427823145,160
161,443.85959148331574,161
162,442.3300599276832,162
163,440.81026710602185,163
164,439.300036910956,164
165,437.7991979966643,165
166,436.3075836424626,166
167,434.825031620322,167
168,433.3513840662051,168
169,431.8864873551128,169
170,430.4301919797329,170
171,428.9823524325886,171
172,427.5428270915821,172
173,426.11147810884074,173
174,424.68817130276557,174
175,423.2727760531926,175
176,421.8651651995757,176
177,420.4652149421056,177
178,419.0728047456779,178
179,417.68781724662955,179
180,416.31013816216466,180
181,414.9396562023882,181
182,413.5762629848788,182
183,412.2198529517201,183
184,410.87032328892565,184
185,409.52757384818517,185
186,408.1915070708651,186
187,406.86202791420175,187
188,405.5390437796177,188
189,404.22246444310764,189
190,402.9122019876267,190
191,401.6081707374292,191
192,400.3102871942987,192
193,399.0184699756149,193
194,397.73263975420485,194
195,396.45271919992786,195
196,395.17863292294186,196
197,393.91030741860544,197
198,392.64767101396603,198
199,391.39065381578973,199
200,390.1391876600884,200
201,388.89320606309934,201
202,387.65264417367854,202
203,386.41743872706303,203
204,385.18752799996577,204
205,383.9628517669639,205
206,382.7433512581414,206
207,381.52896911795307,207
208,380.31964936527106,208
209,379.115337354583,209
210,377.9159797383068,210
211,376.72152443018933,211
212,375.53192056976025,212
213,374.3471184878068,213
214,373.16706967284506,214
215,371.9917267385528,215
216,370.8210433921422,216
217,369.65497440364067,217
218,368.4934755760573,218
219,367.336503716406,219
220,366.1840166075632,220
221,365.0359729809345,221
222,363.8923324899078,222
223,362.7530556840698,223
224,361.6181039841642,224
225,360.4874396577697,225
226,359.3610257956769,226
227,358.2388262889459,227
228,357.12080580662143,228
229,356.00692977408994,229
230,354.89716435205776,230
231,353.7914764161345,231
232,352.6898335370024,232
